id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38724135,Modern Oasis - Central Austin Estate,30225950,Eastside Villas,,78702,30.27171,-97.72901,Entire home/apt,399,3,9,2020-01-01,2.62,4,302
38724154,Tiny Home Retreat-Pool/Orchard/Fresh Eggs/56 Acres,28477574,Scott,,78737,30.20042,-97.93843,Entire home/apt,99,1,4,2019-10-13,1.13,2,165
38726944,Treemont Retreat - STAY HERE! New home with pool! Introductory pricing! WalkerVR TREEMONT RETREAT *Free Grocery Delivery*,15864252,Walker Luxury Vacation,,78746,30.26566,-97.79824,Entire home/apt,439,2,0,,,11,88
38727828,Ideal private home for SXSW,140233167,Michael,,78702,30.25656,-97.73648,Entire home/apt,795,4,0,,,1,143
38728146,Private Room w/ Air Mattress(<15 min from Zilker),292408592,Brian,,78744,30.18763,-97.76539,Private room,50,1,5,2019-10-20,1.33,1,0
38728695,Golden Good Vibes,120962800,Tabitha,,78747,30.15371,-97.7417,Entire home/apt,450,1,0,,,1,41
38728874,"The Zilker Guesthouse - Walk 2 ACL, Barton Springs",28057158,April & Jake,,78704,30.2569,-97.76765,Entire home/apt,250,2,2,2019-10-13,0.61,2,0
38729238,The heart of north Austin very close to the domain,38324625,Sameea,,78758,30.40966,-97.69894,Private room,40,1,3,2019-11-29,1.29,1,160
38729585,Clifton Cottage: an urban oasis,674867,Brittani,,78704,30.24163,-97.74998,Entire home/apt,129,1,24,2020-01-05,7.66,1,146
38732110,Pool view condo,162843252,Valery,,78741,30.23253,-97.73439,Entire home/apt,92,1,1,2019-09-19,0.26,1,0
38732317,Comfortable house 10 mins from Zilker Park!,266818493,Dylan,,78735,30.25457,-97.83468,Private room,43,1,15,2019-12-07,3.95,1,346
38738478,Cozy Bedroom near Airport,115469899,Femi,,78725,30.21641,-97.63518,Private room,25,1,7,2020-01-01,2.31,1,40
38741043,Austintacious Central Eclectic Home,244976228,KrisCina&Rob,,78751,30.30432,-97.72011,Entire home/apt,349,2,1,2019-10-13,0.33,2,0
38743237,Austin Stucco Carriage House,32777712,Lucy,,78751,30.30367,-97.72003,Entire home/apt,85,30,8,2019-12-20,2.45,2,260
